timestamp,delta_ch0,theta_ch0,alpha_ch0,beta_ch0,gamma_ch0,delta_ch1,theta_ch1,alpha_ch1,beta_ch1,gamma_ch1,delta_ch2,theta_ch2,alpha_ch2,beta_ch2,gamma_ch2,delta_ch3,theta_ch3,alpha_ch3,beta_ch3,gamma_ch3,delta_ch4,theta_ch4,alpha_ch4,beta_ch4,gamma_ch4
1749768317.722125,168607.8252419758,19531.535750921903,8981.656331109396,1226.0551034513335,145.78819964253634,56033.43120162771,24463.60086209921,4367.858240743764,931.1312622648928,280.30527622603256,69518.49611591132,19466.15929952597,1901.8474600064642,713.849076115501,214.54991144406716,111772.98427725998,35772.40059042165,1649.6059730024222,1132.8510117076821,218.90617977201248,2361.08947765631,1202.7237750560614,732.3271551963913,397.0176462613535,342.71602121526985
1749768317.81175,140891.4454874761,14854.37776964444,6380.559407076166,884.2182565904594,107.71482895230032,40245.16872497221,11541.924506672378,2366.5779936608105,541.4811610008368,212.86366371867442,38548.68862758296,9669.947910772878,1153.7258643323069,361.7898717793563,82.94949871841418,84748.39425229462,24052.870495698997,1032.2441658984496,663.5287463050963,145.28010224517845,1325.905307633718,549.1285543804086,514.9940622399613,394.0430273414002,349.48740789870857
1749768317.856375,105809.11018743909,9894.209366565665,4164.052622714675,585.1398240878365,85.6252497197879,37033.39701907802,3817.259729047636,1236.4062859562168,363.6242344249809,278.43274637586006,20957.638323266237,3584.6370929972763,580.2558038698932,140.97179318413404,21.525046195496657,53048.171460778874,13190.68107879902,579.8702995936931,322.6716746104662,86.0345433817782,628.6014871413124,206.12008780103415,378.2293377293198,419.3873069593591,362.0129900127096
1749768317.916125,83409.92632469643,5556.209950651477,2459.757090898681,364.5809243223641,74.80423590816766,44230.79701088523,1042.358082289878,913.6606963583492,432.4275309739103,491.5428947608966,12305.580825711411,857.2143902722404,213.40249468823768,41.821090423070906,5.9423366895877106,31404.41391385063,5532.754455628395,303.3635993703627,127.50421167928351,48.663027616743264,228.63667661459672,100.48351509343476,349.76818470510005,456.60184533990946,378.0973589646086
1749768317.97675,65288.40082590957,2659.809816157302,1343.1668788786137,225.9657085305117,68.13119644919544,52907.896019992004,1115.0611931215647,1192.1735632810041,721.9620617749322,806.3621846955502,7832.939816690608,91.57870800504875,44.72368903276673,14.81270761198199,6.778502798695302,18294.88613443617,1649.0815773629904,166.31191804481608,48.91910540977477,31.8796587203841,110.18954039597031,113.60512843156418,411.64581163118294,485.30697046373615,389.8828581368765
1749768318.066375,47152.67538773291,1132.274780310666,763.9802130945357,151.53234848606056,62.575317782230314,52938.33531934006,2000.952287551673,1806.979828075652,1181.107807211561,1162.5564174114697,3752.1547802602468,15.874592551004014,15.419463964878739,16.536494113872763,12.544235020293987,11183.131657315107,368.8079080013222,80.94159821549361,29.07076585734473,26.536643486707938,77.26525544185645,154.60322265231588,502.8421996794688,491.87964510033345,394.25047683171556
1749768318.095125,32616.74702343684,596.2414191123383,500.25550720338714,121.34931110465448,53.838249869473245,54628.83056503189,2966.6072329718986,2517.6316772296523,1732.8252240954282,1517.3561337041726,3245.0542157173413,25.733410645633665,21.96461827221386,24.577600618230544,23.03841726298002,5659.904613183802,145.92426944352252,37.59667820316351,22.97677247067823,23.781225105581374,29.550133777062463,201.20015635559443,561.9147749927674,472.59856661944593,395.3572514896585
1749768318.17375,26641.987851863392,513.9041126652482,387.7537729084029,111.62699467894856,41.04072644392703,49765.96632781399,3810.254406488171,3063.715426390029,2275.0694582770284,1843.4814790833325,3712.6187788171155,36.409315199848024,27.72036280961542,34.20503319845657,38.7247915109242,4258.209582381985,152.3048126317971,34.27806653473685,17.93879698832023,20.264574918514917,32.84496572767277,263.2826395053314,569.4850260245033,437.985330987169,400.51191756429944
1749768318.233375,21656.02387213125,435.4618299739859,306.45298025559424,103.72388558593416,29.049715598500608,39304.31108513293,4562.564646856638,3289.5649765625944,2699.678768436023,2125.4074034094047,3906.8475469065115,44.076287473677596,32.48330544886316,44.79648118120224,58.71141158757658,3146.1695035162174,142.57014878076725,34.5255658492177,13.56497877032036,16.808164235828755,35.02357694304689,326.72542535105777,527.4158306952103,403.72047843473666,415.60060431923176
1749768318.312125,12955.213720443278,360.60140234392844,225.75724178276323,90.84812754744843,21.03013764637452,24109.682682789207,5218.574769283458,3116.82033874941,2909.519163887629,2345.0812998558495,3863.4332861412786,51.697309275402255,36.94820868659078,55.57787543411954,79.95737397238337,1753.5722063954265,113.80171375699918,32.670799489492694,11.196563216469007,14.51360402366592,39.53889096117596,371.6780414701458,462.46179715153073,381.20331323528455,438.73048902622213
