trial,timestamp,word,color,response,correct,response_time
0,1749740950.2479155,BLUE,blue,blue,True,2.210874319076538
1,1749740952.4689107,GREEN,yellow,yellow,True,1.2507469654083252
2,1749740953.7264209,RED,yellow,yellow,True,1.4531347751617432
3,1749740955.1795557,RED,green,green,True,1.3811044692993164
4,1749740956.5617654,RED,green,green,True,1.0898668766021729
5,1749740957.6549947,YELLOW,blue,blue,True,1.5088732242584229
6,1749740959.1677678,GREEN,yellow,yellow,True,1.2161965370178223
7,1749740960.389888,RED,green,green,True,1.1069602966308594
8,1749740961.5065346,GREEN,red,red,True,1.2221276760101318
9,1749740962.7348368,YELLOW,green,green,True,0.9435849189758301
10,1749740963.6849453,GREEN,red,red,True,0.764824628829956
11,1749740964.44977,GREEN,green,green,True,0.7835783958435059
12,1749740965.2434487,BLUE,blue,blue,True,1.2038755416870117
13,1749740966.4517734,RED,yellow,yellow,True,1.269273042678833
14,1749740967.722167,RED,yellow,yellow,True,0.8994605541229248
15,1749740968.6216276,RED,green,green,True,1.1132540702819824
16,1749740969.7358813,RED,blue,blue,True,1.0772490501403809
17,1749740970.8141418,RED,red,red,True,0.9777190685272217
18,1749740971.7970495,BLUE,green,green,True,1.1954879760742188
19,1749740972.9936395,BLUE,green,green,True,1.0322797298431396
20,1749740974.0327566,RED,red,red,True,1.4346580505371094
21,1749740975.475651,GREEN,blue,blue,True,1.42578125
22,1749740976.9092805,RED,yellow,yellow,True,1.1719534397125244
23,1749740978.0906303,YELLOW,yellow,yellow,True,0.6302361488342285
24,1749740978.7247162,RED,blue,blue,True,1.3388566970825195
25,1749740980.0688596,GREEN,red,red,True,1.0670478343963623
26,1749740981.14324,YELLOW,red,red,True,0.7544498443603516
27,1749740981.8976898,YELLOW,red,red,True,1.190894603729248
28,1749740983.0987942,BLUE,green,green,True,0.9483282566070557
29,1749740984.061389,YELLOW,red,red,True,0.7568461894989014
30,1749740984.826766,BLUE,yellow,yellow,True,1.0549664497375488
31,1749740985.8956091,GREEN,yellow,yellow,True,0.6074013710021973
32,1749740986.5108085,BLUE,blue,blue,True,1.0325326919555664
33,1749740987.5443456,BLUE,red,red,True,0.6643519401550293
34,1749740988.214589,RED,green,green,True,0.7888693809509277
35,1749740989.0074332,BLUE,green,green,True,0.8505902290344238
36,1749740989.8590345,BLUE,green,green,True,0.8772130012512207
37,1749740990.7397425,YELLOW,yellow,yellow,True,0.7707514762878418
38,1749740991.518536,RED,blue,blue,True,0.9425485134124756
39,1749740992.4678698,GREEN,blue,blue,True,0.5136144161224365
40,1749740992.9900992,BLUE,green,green,True,0.8148725032806396
41,1749740993.8105571,RED,red,red,True,0.839935302734375
42,1749740994.6515071,RED,red,red,True,0.8220574855804443
43,1749740995.4735646,RED,blue,blue,True,1.008134126663208
44,1749740996.490109,BLUE,green,green,True,0.7748637199401855
45,1749740997.271855,GREEN,blue,blue,True,0.9201710224151611
46,1749740998.2083058,YELLOW,green,green,True,1.96083402633667
47,1749741000.1752214,BLUE,blue,blue,True,0.8426787853240967
48,1749741001.023531,RED,yellow,yellow,True,1.0826387405395508
49,1749741002.1096342,BLUE,green,green,True,1.4992005825042725
50,1749741003.613358,RED,yellow,yellow,True,0.8777439594268799
51,1749741004.4959762,BLUE,green,green,True,1.1624841690063477
52,1749741005.662589,GREEN,green,green,True,0.7783594131469727
53,1749741006.447886,BLUE,green,green,True,1.0050618648529053
54,1749741007.4570072,YELLOW,green,green,True,0.8929243087768555
55,1749741008.3528054,BLUE,green,green,True,0.8023207187652588
56,1749741009.1597178,GREEN,red,red,True,1.4983248710632324
57,1749741010.6600616,GREEN,red,red,True,0.9215528964996338
58,1749741011.5894525,YELLOW,green,green,True,1.176856517791748
59,1749741012.776906,BLUE,yellow,yellow,True,0.9846310615539551
60,1749741013.763808,BLUE,blue,blue,True,0.9231116771697998
61,1749741014.6945088,RED,red,red,True,1.7179288864135742
62,1749741016.421842,GREEN,red,red,True,0.708482027053833
63,1749741017.1323338,GREEN,blue,blue,True,1.2403795719146729
64,1749741018.3860981,YELLOW,green,green,True,1.128645658493042
65,1749741019.515748,YELLOW,blue,blue,True,1.095860481262207
66,1749741020.612768,YELLOW,green,green,True,0.920813798904419
67,1749741021.534659,YELLOW,blue,blue,True,1.0012104511260986
68,1749741022.539919,RED,red,red,True,0.795668363571167
69,1749741023.3422627,GREEN,yellow,yellow,True,1.1482667922973633
70,1749741024.4996278,BLUE,yellow,yellow,True,0.7993347644805908
71,1749741025.3022816,YELLOW,green,green,True,0.7838180065155029
72,1749741026.0933397,BLUE,yellow,yellow,True,0.828782320022583
73,1749741026.9272773,YELLOW,green,green,True,0.829190731048584
74,1749741027.756468,YELLOW,green,green,True,0.7389161586761475
75,1749741028.5003147,BLUE,yellow,yellow,True,0.7954797744750977
76,1749741029.2971878,BLUE,yellow,yellow,True,0.9710772037506104
77,1749741030.2768848,RED,blue,green,False,0.9342985153198242
78,1749741031.2177613,GREEN,red,red,True,2.0273730754852295
79,1749741033.2524838,YELLOW,green,green,True,0.8771395683288574
80,1749741034.1370468,GREEN,red,red,True,0.8036770820617676
81,1749741034.9459064,RED,green,green,True,1.039700984954834
82,1749741035.9976656,BLUE,yellow,yellow,True,1.2272639274597168
83,1749741037.2308853,RED,blue,blue,True,1.3081464767456055
84,1749741038.542576,BLUE,red,red,True,1.7837424278259277
85,1749741040.3347764,RED,green,green,True,1.1558411121368408
86,1749741041.4973536,GREEN,red,red,True,0.7253046035766602
87,1749741042.2298565,RED,blue,blue,True,0.8516130447387695
88,1749741043.0895667,YELLOW,red,red,True,1.8889572620391846
89,1749741044.9845233,RED,red,red,True,0.5992631912231445
90,1749741045.594777,GREEN,green,green,True,1.2482635974884033
91,1749741046.8514206,RED,red,red,True,0.7262239456176758
92,1749741047.5776446,RED,yellow,yellow,True,0.972710132598877
93,1749741048.5582514,GREEN,red,red,True,2.15798282623291
94,1749741050.7248552,RED,red,red,True,0.5763647556304932
95,1749741051.312066,GREEN,green,green,True,0.6649107933044434
96,1749741051.9839928,YELLOW,yellow,yellow,True,0.8254380226135254
97,1749741052.8134496,BLUE,blue,blue,True,1.0904433727264404
98,1749741053.9211135,RED,yellow,yellow,True,1.184605598449707
99,1749741055.1125782,YELLOW,green,green,True,1.6721184253692627
100,1749741056.7846966,YELLOW,green,green,True,0.828277587890625
101,1749741057.6186378,RED,green,green,True,0.6618063449859619
102,1749741058.294869,GREEN,red,red,True,0.9132840633392334
103,1749741059.213922,BLUE,red,red,True,0.6820917129516602
104,1749741059.9042222,GREEN,yellow,yellow,True,1.3333046436309814
105,1749741061.2425961,BLUE,yellow,yellow,True,0.745309591293335
106,1749741062.0027986,RED,green,green,True,1.659602403640747
107,1749741063.6754744,GREEN,green,green,True,0.48557066917419434
108,1749741064.1620655,GREEN,red,red,True,0.9292240142822266
109,1749741065.0972033,RED,red,red,True,0.4885258674621582
110,1749741065.5868323,RED,blue,blue,True,1.0423529148101807
111,1749741066.6348343,BLUE,blue,blue,True,0.6514377593994141
112,1749741067.3022678,RED,green,green,True,1.545647144317627
113,1749741068.84992,RED,blue,blue,True,1.5476336479187012
114,1749741070.4049094,GREEN,yellow,yellow,True,1.067397117614746
115,1749741071.4733064,GREEN,blue,blue,True,2.006960868835449
116,1749741073.4902782,YELLOW,yellow,yellow,True,1.2347595691680908
117,1749741074.7309835,BLUE,green,blue,False,1.3757901191711426
118,1749741076.1067736,BLUE,green,green,True,1.2658607959747314
119,1749741077.3736348,BLUE,blue,blue,True,1.8647396564483643
120,1749741079.2534227,YELLOW,red,red,True,1.3888294696807861
121,1749741080.6543667,GREEN,green,green,True,1.0797324180603027
122,1749741081.7409477,YELLOW,blue,blue,True,1.169173002243042
123,1749741082.9111354,YELLOW,red,red,True,1.3163566589355469
124,1749741084.2381804,RED,blue,blue,True,0.9864065647125244
125,1749741085.225775,RED,blue,blue,True,1.0728309154510498
126,1749741086.3033006,YELLOW,green,green,True,1.08101224899292
127,1749741087.3906295,RED,yellow,yellow,True,1.1203532218933105
128,1749741088.5166545,BLUE,green,green,True,1.303593397140503
129,1749741089.8275652,GREEN,yellow,yellow,True,1.0395832061767578
130,1749741090.8727896,RED,blue,blue,True,1.1446959972381592
131,1749741092.0186305,RED,red,red,True,0.8068351745605469
132,1749741092.8274999,RED,green,green,True,1.1031126976013184
133,1749741093.9387045,YELLOW,green,green,True,0.6527085304260254
134,1749741094.592871,YELLOW,red,red,True,1.3876628875732422
135,1749741095.9909315,RED,yellow,yellow,True,0.997642993927002
136,1749741096.9995368,YELLOW,red,red,True,1.7599995136260986
137,1749741098.7680907,RED,blue,blue,True,1.4025580883026123
138,1749741100.1813574,YELLOW,blue,blue,True,1.2393109798431396
139,1749741101.4279447,GREEN,red,red,True,2.307856321334839
140,1749741103.7428236,BLUE,blue,blue,True,0.8406217098236084
141,1749741104.5863383,BLUE,green,green,True,0.9646410942077637
142,1749741105.5603385,GREEN,red,red,True,1.764855146408081
143,1749741107.33415,BLUE,blue,blue,True,1.3363151550292969
144,1749741108.6792586,GREEN,yellow,yellow,True,1.084136962890625
145,1749741109.771624,YELLOW,green,green,True,1.614431619644165
146,1749741111.387229,YELLOW,green,green,True,0.9729712009429932
147,1749741112.3665416,GREEN,blue,blue,True,2.547525644302368
