trial,timestamp,word,color,response,correct,response_time
0,1749753270.0937295,GREEN,yellow,yellow,True,5.787025690078735
1,1749753275.8877432,BLUE,blue,blue,True,1.1020822525024414
2,1749753276.9948244,YELLOW,yellow,yellow,True,0.7986884117126465
3,1749753277.7975197,GREEN,green,green,True,0.8990941047668457
4,1749753278.7006114,RED,red,red,True,0.9418530464172363
5,1749753279.6434705,RED,red,red,True,0.5996685028076172
6,1749753280.2461407,BLUE,red,red,True,0.5930852890014648
7,1749753280.8402233,BLUE,yellow,yellow,True,0.7834060192108154
8,1749753281.6276298,RED,blue,blue,True,1.5655262470245361
9,1749753283.1981332,BLUE,blue,blue,True,0.6344015598297119
10,1749753283.8325348,BLUE,blue,blue,True,1.1835556030273438
11,1749753285.020082,GREEN,blue,blue,True,0.7351412773132324
12,1749753285.7562356,GREEN,blue,blue,True,0.9074835777282715
13,1749753286.667722,YELLOW,yellow,yellow,True,0.7831685543060303
14,1749753287.4538846,RED,red,red,True,0.9828882217407227
15,1749753288.4407744,BLUE,green,green,True,1.2106664180755615
16,1749753289.6544342,YELLOW,red,red,True,1.0476899147033691
17,1749753290.702124,YELLOW,red,red,True,0.6390655040740967
18,1749753291.3461897,RED,green,green,True,0.7249705791473389
19,1749753292.07216,RED,blue,blue,True,1.3334157466888428
20,1749753293.4055758,RED,blue,blue,True,0.620530366897583
21,1749753294.0301108,BLUE,red,red,True,0.8429539203643799
22,1749753294.8790658,RED,blue,blue,True,0.737342119216919
23,1749753295.6213946,GREEN,green,green,True,0.8521697521209717
24,1749753296.4786844,RED,red,red,True,0.7372925281524658
25,1749753297.220982,YELLOW,yellow,yellow,True,0.8559226989746094
26,1749753298.0769048,YELLOW,blue,blue,True,1.5816378593444824
27,1749753299.6645448,GREEN,red,red,True,0.8950531482696533
28,1749753300.5655873,BLUE,green,green,True,1.422314167022705
29,1749753301.9899218,BLUE,blue,blue,True,0.7212247848510742
30,1749753302.7161436,GREEN,red,red,True,0.8352599143981934
31,1749753303.562415,YELLOW,blue,blue,True,1.6621367931365967
32,1749753305.2295544,RED,red,red,True,0.8474371433258057
33,1749753306.079992,YELLOW,red,red,True,0.4824638366699219
34,1749753306.5664492,BLUE,yellow,yellow,True,1.6923906803131104
35,1749753308.2698464,RED,red,red,True,0.7753617763519287
36,1749753309.0462058,RED,green,green,True,0.943310022354126
37,1749753309.9935322,BLUE,blue,blue,True,0.7396023273468018
38,1749753310.734126,BLUE,red,red,True,0.659501314163208
39,1749753311.3946311,BLUE,yellow,yellow,True,0.9235997200012207
40,1749753312.3192227,BLUE,red,red,True,0.9326965808868408
41,1749753313.2549183,YELLOW,yellow,yellow,True,0.753516674041748
42,1749753314.0213423,RED,yellow,yellow,True,0.6544594764709473
43,1749753314.6773322,RED,blue,blue,True,0.8174877166748047
44,1749753315.5008178,YELLOW,green,green,True,1.1730625629425049
45,1749753316.6788948,RED,red,red,True,0.782233476638794
46,1749753317.4671242,YELLOW,green,green,True,1.1439323425292969
47,1749753318.6180544,GREEN,blue,blue,True,1.1346523761749268
48,1749753319.7586753,YELLOW,red,red,True,1.222681999206543
49,1749753320.9843533,BLUE,yellow,yellow,True,0.935375452041626
50,1749753321.9197288,BLUE,green,green,True,1.1390762329101562
51,1749753323.059804,BLUE,yellow,yellow,True,0.8093266487121582
52,1749753323.8731306,RED,red,red,True,1.0972626209259033
53,1749753324.9743848,BLUE,yellow,yellow,True,1.209864616394043
54,1749753326.1882443,RED,blue,blue,True,0.9918482303619385
55,1749753327.1800926,RED,yellow,yellow,True,0.9113047122955322
56,1749753328.0963898,YELLOW,blue,blue,True,0.6183133125305176
57,1749753328.7157013,YELLOW,red,red,True,0.8326575756072998
58,1749753329.556366,GREEN,green,green,True,0.7057449817657471
59,1749753330.2672157,RED,green,green,True,0.4361863136291504
60,1749753330.7063925,GREEN,blue,blue,True,1.1269361972808838
61,1749753331.8413327,RED,yellow,yellow,True,0.847343921661377
62,1749753332.6946776,YELLOW,green,green,True,0.7482907772064209
63,1749753333.4429684,YELLOW,yellow,yellow,True,0.6800603866577148
64,1749753334.1280377,BLUE,green,green,True,0.6085429191589355
65,1749753334.7515845,YELLOW,red,red,True,0.7026968002319336
66,1749753335.457279,GREEN,yellow,yellow,True,0.6896915435791016
67,1749753336.1479666,GREEN,green,green,True,0.7162683010101318
68,1749753336.8732293,RED,red,red,True,0.8813560009002686
69,1749753337.7555873,RED,green,green,True,0.8013145923614502
70,1749753338.5609038,GREEN,red,red,True,0.6185352802276611
71,1749753339.1804302,GREEN,yellow,yellow,True,0.788801908493042
72,1749753339.9732318,BLUE,red,green,False,0.7755804061889648
73,1749753340.749811,BLUE,yellow,yellow,True,2.3211581707000732
74,1749753343.0729702,BLUE,yellow,yellow,True,0.8801231384277344
75,1749753343.961165,YELLOW,blue,blue,True,0.737816572189331
76,1749753344.6999805,YELLOW,green,red,False,0.8767030239105225
77,1749753345.5776794,YELLOW,green,green,True,2.0055031776428223
78,1749753347.5901754,GREEN,blue,blue,True,0.8637754917144775
79,1749753348.4589288,RED,green,green,True,0.9188766479492188
80,1749753349.3862634,BLUE,blue,blue,True,0.6061480045318604
81,1749753350.0013678,RED,blue,blue,True,0.5146441459655762
82,1749753350.5239964,BLUE,yellow,yellow,True,0.830653190612793
83,1749753351.3585856,YELLOW,yellow,yellow,True,0.46712422370910645
84,1749753351.8257098,YELLOW,green,green,True,0.899554967880249
85,1749753352.729257,GREEN,yellow,yellow,True,0.8306457996368408
86,1749753353.5639033,BLUE,green,green,True,0.8158853054046631
87,1749753354.384818,GREEN,green,green,True,0.4312136173248291
88,1749753354.821038,YELLOW,red,red,True,0.87119460105896
89,1749753355.6972265,RED,red,red,True,0.4394257068634033
90,1749753356.1376543,RED,blue,blue,True,0.8153760433197021
91,1749753356.9590213,GREEN,green,green,True,0.8027276992797852
92,1749753357.76673,RED,blue,blue,True,0.956223726272583
93,1749753358.7229538,RED,blue,blue,True,0.7388520240783691
94,1749753359.466841,BLUE,red,red,True,0.9700391292572021
95,1749753360.4419827,YELLOW,red,red,True,0.46658968925476074
96,1749753360.9135218,RED,green,green,True,1.266057014465332
97,1749753362.18457,GREEN,green,green,True,0.3827323913574219
98,1749753362.573292,YELLOW,red,red,True,0.7066004276275635
99,1749753363.2893047,RED,blue,blue,True,0.7730283737182617
100,1749753364.0693352,GREEN,yellow,yellow,True,0.8349599838256836
101,1749753364.9042952,GREEN,yellow,yellow,True,0.7150251865386963
102,1749753365.6302786,YELLOW,yellow,yellow,True,0.5175423622131348
103,1749753366.1609695,BLUE,red,red,True,1.1828229427337646
104,1749753367.3498032,RED,yellow,yellow,True,0.8446617126464844
105,1749753368.205472,BLUE,green,green,True,0.9290359020233154
106,1749753369.1395004,RED,green,green,True,0.47645068168640137
107,1749753369.6209898,YELLOW,red,red,True,1.2314610481262207
108,1749753370.856459,BLUE,red,red,True,0.45509982109069824
109,1749753371.3175657,GREEN,red,red,True,0.6895895004272461
110,1749753372.0121572,RED,red,red,True,0.4151911735534668
111,1749753372.431352,YELLOW,yellow,yellow,True,0.7935628890991211
112,1749753373.2259076,YELLOW,green,green,True,1.1516492366790771
113,1749753374.3835568,RED,blue,blue,True,1.0963914394378662
114,1749753375.489917,GREEN,red,red,True,1.8089466094970703
115,1749753377.3018892,GREEN,green,green,True,1.3979425430297852
116,1749753378.7060065,YELLOW,yellow,yellow,True,1.015676736831665
117,1749753379.7216833,YELLOW,red,red,True,1.5606589317321777
118,1749753381.2863326,BLUE,blue,blue,True,0.803135871887207
119,1749753382.0905097,BLUE,yellow,yellow,True,0.751704216003418
120,1749753382.8462074,RED,red,red,True,0.8750677108764648
121,1749753383.7292595,YELLOW,blue,blue,True,1.9416356086730957
122,1749753385.6758943,RED,yellow,yellow,True,1.1308164596557617
123,1749753386.8077052,RED,green,green,True,0.9265918731689453
124,1749753387.742723,GREEN,blue,blue,True,1.9792604446411133
125,1749753389.7328055,RED,yellow,yellow,True,0.7738070487976074
126,1749753390.5168073,GREEN,yellow,yellow,True,0.6666970252990723
127,1749753391.1928132,YELLOW,green,green,True,1.519388198852539
128,1749753392.7221131,GREEN,green,green,True,0.6131939888000488
129,1749753393.336426,GREEN,red,red,True,0.7860274314880371
130,1749753394.1272137,RED,green,green,True,0.7920820713043213
131,1749753394.9233005,YELLOW,blue,blue,True,1.6619060039520264
132,1749753396.5908399,BLUE,red,red,True,1.150728464126587
133,1749753397.7449577,RED,yellow,yellow,True,1.0419607162475586
134,1749753398.7869184,RED,red,red,True,1.2736749649047852
135,1749753400.0677998,YELLOW,red,red,True,0.6648173332214355
136,1749753400.7381566,GREEN,yellow,yellow,True,1.1440081596374512
137,1749753401.8867514,RED,yellow,yellow,True,0.6702671051025391
138,1749753402.5648148,GREEN,blue,blue,True,1.0727567672729492
139,1749753403.6385827,GREEN,yellow,yellow,True,0.7923593521118164
140,1749753404.4323025,GREEN,red,red,True,0.9592173099517822
141,1749753405.3925812,GREEN,green,green,True,0.8438572883605957
142,1749753406.2440643,RED,yellow,yellow,True,1.1316728591918945
143,1749753407.3785815,RED,red,red,True,1.09938645362854
144,1749753408.4883516,YELLOW,blue,blue,True,1.4772799015045166
145,1749753409.9717097,BLUE,blue,blue,True,0.5046701431274414
146,1749753410.481486,RED,yellow,yellow,True,0.8325839042663574
147,1749753411.319277,YELLOW,red,red,True,1.2302989959716797
148,1749753412.553189,BLUE,yellow,yellow,True,0.9597015380859375
149,1749753413.5175035,RED,blue,blue,True,1.5200660228729248
150,1749753415.041976,YELLOW,green,green,True,0.9148757457733154
151,1749753415.9618573,RED,blue,blue,True,1.3706743717193604
152,1749753417.3394332,BLUE,blue,blue,True,0.38887596130371094
153,1749753417.733675,GREEN,blue,blue,True,0.4069957733154297
154,1749753418.145647,BLUE,green,green,True,1.7595586776733398
155,1749753419.909211,GREEN,green,green,True,0.6606218814849854
